reviews.rating,reviews.text,reviews.title
1,"Nothing but problems after a month. Luckily I could take it back and get a credit for the kindle to put towards an ipad. It started off working fine then after a month it started losing internet connection randomly (while the old ipad had no problems). Then it stopped charging, never got past 1%. Tried different outlets, different android chargers. Nothing. Worthless",horrible
1,"was cheap, can not run chrome stuff, returned to store.","was cheap, can not run chrome stuff, returned"
1,"I bought this to replace a 3-year old Kindle Fire 7"" HDX that I had just dropped on the floor. I sort of panicked, so after doing a couple of hours of research I picked this tablet. Just to be on the safe side I got 16 additional GB of memory. I installed a couple of games (none of them memory hogs) and a cookbook app, in addition to downloading a couple of books and dictionaries. I can honestly say this is the slowest tablet I've ever had. Just rotating the screen takes 7-10 seconds, and that's if there's only one app open. Opening a book or magazine can take half a minute, and God help you if you want to switch between a recipe and a magazine while you're cooking! Amazon is obviously more concerned about showing you constant special offers and apps than having satisfied customers. Since there are no other Fire tablets available for whatever reason (maybe they're being discontinued?) I'll be replacing it with either an iPad or a Galaxy tablet.",Couldn't possibly hate it more.
1,Prior to using the device I decided to recharge it to 100% and was shocked to find out that it takes 6 hours. Unless you have a lot of time don't buy this device.,Poor charging
1,This is not an upgrade by any means! My three year old kindle outperformed Oasis.Battery life better than a week with the lights on lowest setting Magnetic connector is poorly designed and grows weak Two pieces to keep up with; unsnaps constantly Amazon Customer Services promises it will resolved in an update,Horrible Battery Life
1,I bought this because I have ebooks in college. Not only could I not get my ebook. I called the school IT department. They could not either. My semester was already started. The sales representative at the store told me this is what I needed. I ended up buying a tablet from my phone carrier and my ebooks were right there in less than 5 minutes with the schools IT department help.,Terrible
1,I had to return this product as it was not compatible with things such as Facebook and Itunes... which is what I needed it for. Great if you are into books and streaming movies!,Not so good!
1,"The last 2 models of Kindle HDX 8 have been terrible. We have purchased 2 of each model of Kindle and up until the last 2 models, they have been great. Last years had to be replaced 7 or 8 times and for the same problem. The slot for the SD card is defective. I gave up and bought the newest model. It shuts completely down if you try to plug it in to external speakers and sometimes it shuts down for no reason. It's going back after the first of the year. This is going to be my last year for Kindles unless they make them the same quality as before. Phooey!",Not impressed with the last 2 Kindles.
1,"Bought this mostly as a backup.and to read a few books, since I have a larger cell phone and a back up. Used it occasionally may 40 or 50 hours of use till this week when I sent my laptop in for repairs. so I probably used it a tot this week. I was watching my 3rd Primetime video this week and it simply turned off. It will not turn on using any power trick such as safe mode. It is gone, It is toast. Bought it October 11, 2016 , It quit on February 9, 2015. My old Fire lasted 4 or 5 years with more use. it had stereo speakers, lasted a week on a charge not 2 or 3 days.Sturdier built. This is full of junk, I am not just offered more apps, it is constantly trying to add them. JUNK JUNK JUNK","less than 120 days, about 100 use. It is toast!"
1,Dont have option for password ask you before buying apps once you authorized as allow its done.Not as many free good apps Like apple have it,Not really statisfied with features
1,Most buyers will have a phone or other charger that will work so you probably don't need to buy this.,Do you need it
1,cheap - need to constantly make sure plugged in - slightly too small - saved some bucks there - not amazon quality,cheap - poor fit in socket
1,"If you actually paid 20 for this adapter, you're out of your mind.","Way, way, way overpriced"
1,"This is the THIRD power charger that I have HAD to buy at cost of over 30 each since my Kindle Fire purchase. Why can't the chargers last a REASONABLE amount of time When I connected this charger, I received a message saying that it was a LOW level charger it probably would not charge while the Kindle was in use. NOT ACCEPTABLE for this cost!!!",Only lasts for less than 1 year!
1,I wish this came in white to match my Kindle Paperwhite,One Star
1,Really expected a chord with it for the price we paid. Very dissapointed.,One Star
1,Not compatible with South African plug standards. Bought this unnecessarily.,Bought this unnecessarily.
1,It wasn't what I thought it was the price was too much for what I got Very disappointed,... was too much for what I got Very disappointed
1,"I had to buy it, what else is there to say.",One Star
1,5 dollar AC to USB power adapter for 20 buck,5 dollar AC to USB power adapter for 20 buck
1,doesnt do me any good without a cord to go with it,One Star
1,Waste of money,One Star
1,My adaptor doesn't work. Maybe I'm doing something wrong but there are no instructions. It looks pretty simple. So it just simply doesn't work.,It DOESN'T Work
1,I don't know why this wouldn't be included with the kindle. It's like selling an appliance without all the parts,It's like selling an appliance without all the
1,Over Priced due to the cost of Kindle at 289.00. Should come with Kindle.,One Star
1,this is way over priced,One Star
1,Exactly what I expected!,One Star
1,Pretty dumb that you have to.buy a charger port,One Star
1,"Too expensive. Should be included, at no extra cost, with the Kindle.","Too expensive. Should be included, at no extra ..."
1,My old kindle charger works fine - that wasn't clear when I bought a new kindle white. And now you want to charge me 6.95 to send it back. Forget it!! I'll keep the extra charger,A charge to return!!
1,This is honestly a little expensive. And I can find other ways to charge my devices.,Unnecessary
1,A waste of money. You don't need this. Just plug your tablet into your computer and the charge lasts for a month.,A waste of money
1,Do not pay attention to their ad. It says the plug is not included with the kindle and it absolutely is. If they lie about this sort of thing what else do you think the lie about. Steer clear these guys are rip off artist.,Stay away. It is included.
1,"Just got home and found the packet is empty, there is no product we ordered in it. What do we do now","Just got home and found the packet is empty, ..."
1,feel it should have come with paperwhite kindle and that I should not have had to buy it,One Star
1,Whats the point of this without the cable to charge!,Stupid purchase
1,The charger won't stay securely connected to the Paperwhite and wiggles. It will only charge when held at a particular angle.,Unreliable hardware
1,Am used to Kindle Fire which I love. No light to read by in the dark. Hard to navigate. This was a gift - would never purchase on my own.,HATE IT!!!!!
1,This device is OK for reading or listening to audiobooks via Overdrive app. Wouldn't recommend it though really. Waited to buy Kindle for years. Would suggest doing research before buying this device.,Extremely slow
1,Not Kid friendly at all. Purchased for little nephew. Wasn't given any info on it for sales person either. Took back!!!,Terrible
1,Screen was cracked but the package did arrive earlier than expected,Arrived broken
1,Purchased two of these tablets. Both of them had 4-7 dead pixels all over the screen. Read a lot of online reviews which stated same problem. The screen/resolution is pretty bad but what can you expect for $50.,Ok tablet I must have got 2 bad ones
1,I don't like this tablet as Android is not working well,this is my worst purchase
1,I can't get my tablet to set the time so I haven't been able to even use it a little disappointed with this purchase no instructions came with it!!,Wish it had instructions
1,"It wouldn't connect to internet. Tried at home, at a couple of Wi-Fi spots and at the store where I bought it.",Nice but No
1,Bad performance. Slow device. Not worth buying. Better products are available in this range.,Rishav
1,I bought this for my daughter during the holidays and after four months of use it would no longer would charge. I tried other charges as well and it's definitely the tablet. Now I have to go through the hassle of seeing if I can still replace it under warranty.,Didn't last
1,"I bought this for my 8 yr old niece, she loves it. Also bought a screen shield & a 'kid proof' case. However, neither stopped the screen from cracking the first time she dropped it. At least it was only $50 :/My nephew has an 1st gen iPad Air, w a kid case; he's dropped it many times, the screen is fine. You get what you pay for.",Screen cracked on 1st drop
1,This tablet has little cpu power and is really only made to work with the Amazon Prime crowd. Not what I was looking for.,Only buy if a Amazon person.
1,"The item was on sale over the Christmas period at a great price. Took it home and when I charged it up, the back of the tablet became very hot to the touch and the battery life reduced dramatically. Left it alone, tried it again, this time no issues. Four days later, it did the same thing when I was charging it up again. Sent it back for a refund.","Great price, bad first experience"
1,I regretted buying this item.I will never recommend this to anyone,Really bad
1,"Got this during Christmas rush and didn't think much of it since it was slightly open. (They had none in stock and needed 4 of them for all my children ) upon opening item , one had a small crack (bearly noticeable ). Increased useage of item cause the screen to spider web... tried to return but no help with management .... store at fountains in El Paso Texas . So I have 3 perfect kindles and one cracked .... very disappointed 1 star",Open item
1,"I got this tablet for Christmas and only used it for one day. The next day I could not use it, it keep glitching. When I got it, the box was opened and it had an inspect sticker on the box, I guess that is what Best Buy does. I think someone switched it out. I took it back to Best Buy to see if someone could fix it and they said it would be $200 to fix or call Amazon. Why would I pay $200 to fix a tablet that was $40. Amazon is replacing my defected one for free after many attempts to fix it.",Horrible
1,"can not down load any apps from goggle play, didn't know amazon and goggle don't have agreements to sharge",Disappointed
1,"purchased it tonight, time is wrong, you cannot change time manually because it has to have wifi to update the time.....AND IT WON'T CONNECT TO ANY WIFI THAT NEEDS A PASSCODE OR PASSWORD BECAUSE IT HAS TO HAVE CORRECT TIME!!!!!!! THIS IS 2016 TECHNOLOGY AMAZON? I've had many devices, but none that make you find a WIFI without a password (hard to do because starbucks, hotels, etc. all need you to click to agree to their terms for wifi...) all because the time cannot be changed without wifi!!!Returning it tomorrow!!!!!P.S. ALSO AN ISSUE ON THE AMAZON FORUMS, SO I AM NOT THE ONLY ONE DEALING WITH THIS!","beware the ""incorrect time"" problem ...going back"
1,"I purchased this for my son thinking it would be a good beginner tablet. I was so wrong. I couldn't even get it set up for him to use it. Before you comment that it may be the user, I have set up every electronic device I have purchased for myself or my children (compters, cell phones, lap tops, game systems) This tablet would not connect to wifi. I even took it across town thinking it could try that but still nothing. Maybe it was defaulty equipment. I sat right beside him and had perfect wifi. My other son sat right beside him had perfect Wifi.",Poorqualty
1,This device would be the best possible tablet for the money if it had Google Play. However Amazon chose to block access to it. This took their well made tablet with a beautiful screen and great performance from an amazing value to a waste of money. This is my last amazon branded product.If you use a lot of apps or want specific apps shop for another device.,5 star device crippled by amazon
1,I got 6 of them they didn't have google plus me no like,it did work
1,Great tablet for kids but the screen isn't as strong. Charging port is very poorly built,Fire
1,Charge the device and was able to set up everything and when I came back to use it it would not work,Does not work
1,I love using it to read and surf the internet. It is also very handy.,A great tool to use to read and surf the internet.
1,"I totally love the Kindle Fire tablets purchased for my grandkids. My sister purchased one in our hometown for my mother. She is equally happy. My granddaughter and grandson spend their wind down time in the evening on the tablets playing their favorite games. In addition, they want a dog and conduct research for the type of dog that the would like. Overall, the tablets are easy to use and provides technology for them when they visit every other weekend. I am pleased.",Great for my grandkids and mother.
1,"Unfortunately, the first time I plugged the Tablet in to charge it up, the battery overheated and shorted out the tablet. I returned it to Best Buy for a full refund with no hassles.",Battery malfunction
1,"it didn't work I had to return it after Christmas and buy something else, made for a wonderful Christmas mourning","it didn,t work had to be returned"
1,"Slow, advertisement plagued. Save and spend money on something better.",Not worth it
1,"This tablet disappointed me from the beginning. I loved my previous Fire tablet. However, this new one disappointed me from get go. I do not want it to tell me what I like or want! I do not like ads that pop up, I do not want suggestions for me on books, movies or anything else. I know what I like! I definitely do not want it talking to me! In this day and age, with identity theft prevalent, I would like to be able to have apps without having to turn on features like location, etc.. All in all, I am ready to bust it up and throw it away!",Very Disappointed!
1,"The first time I buy my first tablet it came on but it only showed that it needed to reeboot, it then shut off by its self.",Didn't work first time powered on
1,Will never buy a amazon tablet for games again it dosent have Google play and the games take forever to download!!!,Not a good tablet for games
1,"Very low quality tablet. It lags on games. But what do you expect for $50? However, you can still do most things you'd expect to do with a tablet.",Get what you pay for
1,i have bought at least 6 people this kindle it is perfect......,love amazon kindle
1,"After only 4 days, the device would not charge. It was plugged in each evening and on the 4th day, it was at 7% after being plugged in all night. This was our second Amazon Fire Tablet, the first one stopped charging in month 13, right after the manufacturer's warranty expired. Decided to get another one because it was a great deal, but sadly I've learned you don't even get what you pay for with this tablet.",Tablet won't charge
1,Didn't like it. To many pop up ALL THE TIME. Don't recommend at all,Crazy pop ups
1,"Bought this for my nephew. The price is right, however, the tablet is terrible. Spend the money and get an iPad.","Price is right, product isn't"
1,I do not like the layout. I want to remove stuff from the screen and can't . I don't like some of the lock out features like playing songs for the kids. i do not like all the advertisements. I don't like the screen doesn't go dark when i want it to such as when music is playing. I liked the samsung,i do not like the fire
1,"From the minute you turn it on there's advertising. The OS is very different from a standard tablet OS - I couldn't get an app that I wanted from the Google Play Store - it just wouldn't work on this. As I said before, I found the amount of advertising just ridiculous.",Tons of advertising
1,Honestly the worst tablet ever owned. Was very slow and unreliable would switch off,Kindle tablet
1,"I read reviews before making a decision for my purchase, but ended up returning the device as I was expecting an experience like that of an Android tablet.",Did not meet expectations
1,I don't have wi fi. so I can't use the device. I'm returning it. I wanted something that my father could use as an e reader. I thought I would be able to download books via my computer using the usb cable. You can't do this unless you are registered. You cannot register unless you have wi fi. Amazon needs to fix this. This is a major flaw.,Must have wi fi
1,Didn't know you had to buy space and many other things for this item to work.,REQUIRES BUYING many things including space
1,"It's very appealing for the price, but know in advance that the warranty is only 90 days... I did not. So when my sons device stopped charging due to a lose charging port a little over 2 months after he got it, I didn't rush to call. I have been taking care of seriously ill family members so I put customer service on the bottom of my list of priorities since I thought I had time,,, especially knowing that these types of calls can sometimes take hours which I didn't have. Today my son was home sick, so I had the day to do the things at the bottom of my list so I called Amazon. 52 minutes later, after doing all their trouble shooting steps THREE times and being disconnected once, she decided to tell me that my warranty was only for 90 days but she would be happy to help me buy one for only $49.99........ Ok. After I calmly explained to he that that was full price and I wasn't about to spend that again on a device that barely made it two months, she put me on hold and 5 minutes later she told me that they would generously give me $10 off my next purchase.Moral of the story, know before you buy & if you still buy, call the minute the thing breaks, even if that means your mom will be an hour late for chemo I guess.Also, during my 45 minute search for who to call about the defect (since it wasn't on the box) I found the Amazon support number on a thread with at least 200 other people talking about their defective charging ports. Keep that in mind.If $50 is something you can spend every 2 months, it might be worth it????",Understand Warranty before throwing out $50
1,"So slow, camera not good, very low quality of picture.. Get Apple iPad mini instead.",Low Quality Tablet
1,"I've bought over 10 replacement charging wires, the ones with the micro mail end that inserts into the Fire to charge it. After one or two uses, the wires become loose and fall out. They definitely won't stay put to charge. Does anyone else have this problem? What's the solution? If not for this, I would recommend it.",charging wires won't stay put
1,"Worked fine for a month, then refused to take a charge. Returned to best buy, and advised that amazon like to handle their own warranty issues. Stuck with a store credit card. I suppose it will get used, but not impressed with the product at all",Disappointed
1,"Table overall was ok but after 30 days it wouldn't work, and there was no warranty after 30 for Best Buy so I just waste 30 for nothing",It's went out after 30 days
1,if you just want something basic cheap and cannot afford something better then it would be fine. But I needed it to do certain things that the other one was to small to handle.,not for me
1,"All I can say, as soon as I opened this tablet it never ever turned on, I was so upset as I've followed the troubleshooting steps from other users online and still it never worked, I fully charged the tablet and tried again and still it never turned on. I had a very hard time at the best buy returning this item; had to spend an hour and explained the situation to them; they never believed me this item came to be defective; after storming out and after a while; they have decided to accept the return and gave me credit for it.I would never buy an Amazon product ever again. piece of junk, bad quality product.Thanks,",Buyer Beware! Do not buy this product
1,Lol.... the only reason i bought this tablet was so i could load my games from my phone and play them on larger screen but i didnt realize that sonce its an amazon product it wont load google play or support vlash of clans or any other google game a big thumbs down.... i guess im just stuck with a tablet that is useless for me,Cant use google
1,"Ouch. I bought this Fire tablet, and used it for about four hours, and left it on a charger. A couple of hours later, I picked up the tablet, and the screen was showing a weird 'ghosting' effect, and then the screen went completely black.I twisted the chassis and screen a bit and managed to get things working again, just long enough to do a factory reset and return the tablet.I'm sure I had a defective/damaged tablet, but I was underwhelmed with the quality, and it would be nice if Amazon brought back the higher quality HDX tablets, for people who don't mind paying more for quality tablets.",Amazon should bring back the HDX tablets
1,We decided to buy the amazon tabs due to the great price on black Friday. We returned them.,Not impressed
1,takes 30 minutes to connect to wifi and none of the apps work on it and i restored it 3 times already. Big and bulky. you will be better to get the more expensive model,junk
1,"I hate it, there isn't any organization for the apps",Eh
1,First day after purchasing the tablet the screen turned green. Since then it has given us problems with the screen turning green. I will be returning the item.,Not a good tablet
1,.. I bought four of these tablets two of them I need to return because as soon as my nephew's turn them on there were problems with screen being almost completely white and black in the corners you can't see anything I've checked the settings it's not the city it's the tablet SMH I am disappointed,problems from the start
1,Tablet was working perfectly. Now the charging port isn't working. Can't charge the tablet. Will be sending back.,Great tablet but charging port stopped working
1,"Super Slow, Would not download, Returned after a week",Absolute Garbage
1,I guess it's ok...All the apps are in need of updating. Amazon won't or can't update them. There help center did nothing.,All the apps need to be updated!!!
1,It's slippery u cannot hold it it always slips and lots of ads definitely not good if u don't like advertising,GreT
1,"I picked this up on Black Friday when it was $30. It seemed like the parental controls would make it good for my kids. I'm not sold. While I can sideload the Google Play store, you can't access anything you download from the safety of the child's account. In addition, 8 GB is practically useless.","It was cheap, but it's not a great tablet"
1,I picked this up on Black Friday and ended up returning it the following week. This may be greater for an e-reader but can't replace a tablet for emails / amazon shopping.,Disappointed
1,"I bought this and the kids version past Christmas. Its lack power and storage to be useful unless you want to just read books. Don't waste money on this product. The kids version is a good ideal but loading the apps, when they work takes forever. When they do work, the kids enjoy them. So I consider it to be a hit and miss. I'll be canceling the subscription as soon as my free year is up. Not wasting money on it.",Not worth the time or money
1,Great easy to use great pictures great price. Awesome,Great kids
1,Didn't work more that 4 months. Don't waste your money.,To the trash
1,"I purchased this item on sale as an alternative tab to android RC tablet. Fire tab is extremely slow, my son had been using RC tablet without any problem, but this one is slow, takes forever the web page to load, apps are also slow. Absolutely waste of money.",Never buy it
1,I will never buy this again very cheap not with a dime,Bad
1,This is my 3rd kindle and my last-i'm moving on to something better!For me -following all packaging insert guidelines-they only lasted a year at the most.,kindle fire
1,"Died after 120 days....30 days out of warranty. Some no name brand lasted us 3 years before this one. Figured we would get a ""name brand"" thinking that it will last longer. I won't be purchasing Kindle/Amazon products anymore.",Lasted 120 days...30 past warranty
1,"I got mine for a month, and I mainly use it to read PDF documents from SD card or OneDrive. The tablet is nothing like the reviews said. It FREEZES up every time I press ""Home"" or go to the next page or even to close out. When I go on the internet, some pages do not load fully. 9/10 times only the 1st half of the page was loaded. I am very disappointed.",SLOW
1,"can't connect to any router, hot spot. Returned and so did the sales clerk with theirs. enough said...","old model, no worky"
1,"I bought this tablet because it seemed worth it for the price. However, it only lasted 6 months before the battery died and was not chargeable, regardless of troubLeshooting and what cord or outlet I used.Best Buy said they couldn't do anything but said Amazon could help me since it should be under warranty. I escalated multiple times with Amazon and they refused to help me each time. So save your $49.99 and put it towards a good product.",Do Not Buy This Tablet
1,its need amazon account for download any apps ............... ita really pain for me . i dont like it,its not for everyone
1,Very slow to connect to internet even with a good connection and wifi set up that worked for other electronics.,Does not connect to internet very well.
1,This tablet was plugged in all night and did not charge.No powerWhite elephant,won't charge
1,"Had to replace my sons lenovo android tablet and at the same time renew the warranty. Had a few options of brands to choose for the replacement. Lots of family suggested the Amazon even the best buy staff said it was the better choice not to mention the cheapest of the four brands to pick from. Well set up was a disaster. I wasn't aware that this tablet let's you put up to four names under one Amazon account, until after the initial account member name was completed. So now my 7 yr old has an Amazon account. Also didnt lime that i had to put in credit info for set up. And then had to go into settings to put a parental block on in-app purchases. Too many ad pop ups and thats just while it is turning on. In not happy with this tablet . It automatically backs up photos and stuff to an iCloud. I don't know what that is , how to access it, nor is there an icon on the screen for it. Also lots of unnecessary pages and icons all over the screen that can't be changed. My other sons tablet is in need of replacement and warranty renewal. I will not be replacing his with this product.",Replacement Tablet for my son
1,I have yet to use it as I do not know how. I need help!,No instructions
1,"I purchased this tablet on a discounted price as an alternative for RC tablet. The operating system is not good, very slow response, apps takes a lot of time to open. Many of the apps like youtube is not made for fire OS, so my little one has a difficult time handling it. After 2 months, I got him RC tablet.",Not a good tablet for kids.
1,My son had the original kindle fire. It was great! Simple to use. It finally bit the dust. I bought a new one. They made it way to complicated. It is going back. The power button won't turn off. The notification box won't stay off the screen & the apps wont run. They just keep loading.,Super Disappointed in the new model
1,When I first got it was great until it stopped charging and wouldn't turn back on,Not great at all
1,I bought 2 of these on Black Friday and these have to be one of the worst buys of my life!!!! The screen saver can't be changed so my kids are forced to look at ads every time they want to use their tablet. Apps are ok and to be honest I could have dealt with the ads but the final deal breaker for me is the sd card. I bought my kids sd cards so they can have more than 4 games and the tablet doesn't read it or something. It says sd card inserted but it won't download apps to the sd card!,Weird ads as a screen saver
1,I honestly didn't care for it. The newest versions of this tablet are by far much better. You have a bit more freedom with it than you do the older version.,Just don't
1,This product is real bad from amazon. Although i dont expect much from a cheap tablet however this was even below my expectations. Its way slow to respond to anything or everything. My 3 year old goes after my ipad when i give him this....wont recommend to anyone.,Real Bad
1,I bought this to use with a particular app but wasn't able to install them so I returned the tablets.,"Great, if you don't want to try to add apps"
1,I bought this tablet on black Friday and went home to test it out and it was very slow and not worth the money,Slow tablet
1,"My grand kid didn't like device, get frustrated to navigate education video. Not worth it!",1
1,It was ancient technology and did not keep up with the internet.,Old
1,I returned the item was not what I expected very disappointed white the table,Did NOT LIKE THE PRODUCT
1,Love the ease of using them for our grandsons and they enjoyed them for Christmas,Wonderful for our grandsons
1,Ordered dec 9th and got my order AFTER CHRISTMAS and it was supposed to be delivered on dec 17th,bad
1,"I was expecting a tablet good enough for the kids to play and download games, and I was told at BB that this product would work for these basic needs. It seems like everything I download needs to be through my Amazon account, very few items are for free, and everything takes forever to download and/or open. Wish I could return it!",Very disappointed
1,"Onsale is 39.99 is cheap , good for new stars tablet",That oke
1,A lot of apps are incomplete. Doesn't run apps that great and has a lot of apps that are generic.,Junk
1,Didn't realize until after we bought it that there was no google play.,Not for kids
1,This makes my phone way to big can't fit in pockets,To big
1,"I purchase a fire after my nook died. I had problems with the first one saying I was connected to the web , but not being able to connect. Took it back and the geek squad looked at it and after trouble shooting for a while, they decided there was something wrong with it, so I exchanged it for another one. We set it up and it worked initially, then I went home and the same thing happened as with tg first one. So I took it back and got my full refund . While not happy with product, best buy customer service made me happy.",Don't buy
1,Except unlike the Millennium Falcon this doesn't have it where it counts. Software is a mess. I didn't expect much from a $50 tablet but man was it painful to use.,What a piece of junk
1,"fully understand this is a budget tablet, but the memory size and quality of screen are not to par",cheap feel
1,This thing is ok as long as you don't expect it to be or have stuff(Apps&Games) like Samsung or Apple cause it doesn't. It has its own line of ****,This thing blows
1,No longer takes charge from manufacture charger or any other type of charger. Product did not last very long since had 7 months.,poor quality
1,"Bought this for our daughter to use, but nothing worked right and was difficult to use. It's a fairly cheap $$ product, and it shows. Ended up returning it and buying a Samsung the next day.",Worst tablet we found
1,"I bought this tablet for my mother 12/7/15 as a Christmas gift, which I gave to her on the day 12/25. Just this week 1/8 she called to tell me that the tablet was not working right. I went to see her and check it out. Sure enough it wasn't functioning properly. I'm hoping that when I take it in, it will be replaced without a problem. I know sometimes items are just defective. That's why I would recommend this item. I've had my Kindle Fire for 3 years now with never a problem.",Damaged
1,"Bought 2, 1 did not work out of the box. Too slow, too much trouble to setup and requires amazon account to use. Returned both items",Not impressed
1,"Absolute junk, don't waste your money. Bought for wife for a Christmas gift. Would not connect to Wi-Fi at my house. Useless!",Junk
1,I bought this during Black Friday sales the price was very attractive but I didn't find it that attractive as YouTube stream was streaming slow it was taking 10-15 min to stream a single song.,Veer poor perform
1,Sold it on Craigslist the day I bought itWhat does that tell you.,lacking
1,Need Amazon account and bank account to use tablet. Bank card should be verified. Cheap product with terrible graphic. I returned that next day. Totally waste of money.,Waste of money
1,I bought this tablet because of the price and the specs seemed fine but it is slow it freezes and crashes I dont think it was a good buy,no good
1,You get wath you paid not comparable to a apple tablet never,Mm
1,"Bought this for my Mom as a gift and was really disappointed. This device DOES NOT RUN FULL ANDROID. You cannot get third party apps even though they sell it as tablet. This device is only good if you only use Amazon (shopping, books, games), otherwise you can't download anything - not even a weather app. Not worth my money to be so limited - Returned the device and got the Lenovo Tab 2 A7 and we are MUCH happier with it!","Glorified eReader, not a tablet"
1,"I purchased this tablet for my daughter and within 5 days after purchasing it, the screen went completely blank. It wasn't dropped and didn't get wet. It is also very limited to apps you can download on it. Many apps wouldn't work after being installed. I would NOT recommend buying this tablet.",Horrible tablet
1,I was setting up 2 of the same tablet and this one wouldn't connect to the wifi. When I brought it back for an exchange there were none in store and they didn't even have them on their website! Ended up getting a refund and purchasing the same model from Amazon,Didn't connect to wifi
1,Its ok tablet but you dont have access to all the same apps that are in google play store. Also to really enjoy the tablet you should be memebr of amazon prime which I am not.,NOT ENOUGH APPS
